2022-05-09 00:04:40,573 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.p.indexer.MeteringAggregator - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(00000000000000000b)),2022-05-08T23:00:00Z), context: {participant: "sandbox"}
2022-05-09 00:04:40,581 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.p.indexer.MeteringAggregator - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(00000000000000000b)),2022-05-08T23:00:00Z), context: {participant: "sandbox"}
2022-05-09 00:10:40,585 [daml.index.db.threadpool.connection.indexer-7] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 00:14:50,863 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:14:57,055 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:14:58,467 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:14:59,261 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:05,130 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:07,770 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:16,916 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:17,546 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:18,631 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:19,915 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:22,694 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:24,309 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:24,667 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:28,151 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:28,537 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:34,042 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:15:34,599 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-05-09 00:16:40,572 [daml.index.db.threadpool.connection.indexer-9] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 00:22:40,571 [daml.index.db.threadpool.connection.indexer-8] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 00:28:40,577 [daml.index.db.threadpool.connection.indexer-11] INFO  c.d.p.indexer.MeteringAggregator - No transaction metering aggregation required, context: {participant: "sandbox"}
2022-05-09 03:34:30,107 [canton-env-execution-context-25] WARN  c.d.c.c.ExecutionContextMonitor - Task runner canton-env-execution-context is just overloaded, but operating correctly. Task got executed in the meantime.
